Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Malware Indicators,Attack Type,Action Taken,Severity Level,Log Source,Anomaly Scores
31225,17616,ICMP,503,Data,HTTP,IoC Detected,Malware,Logged,Low,Server,28.67
17245,48166,ICMP,1174,Data,HTTP,IoC Detected,Malware,Blocked,Low,Firewall,51.5
16811,53600,UDP,306,Control,HTTP,IoC Detected,DDoS,Ignored,Low,Firewall,87.42
20018,32534,UDP,385,Data,HTTP,,Malware,Blocked,Medium,Firewall,15.79
6131,26646,TCP,1462,Data,DNS,,DDoS,Blocked,Low,Firewall,0.52
17430,52805,UDP,1423,Data,HTTP,,Malware,Logged,Medium,Server,5.76
26562,17416,TCP,379,Data,DNS,,DDoS,Ignored,High,Server,31.55
34489,20396,ICMP,1022,Data,DNS,IoC Detected,Intrusion,Logged,High,Firewall,54.05
56296,20857,TCP,1281,Control,FTP,IoC Detected,Intrusion,Blocked,High,Server,56.34
37918,50039,UDP,224,Data,HTTP,,Malware,Blocked,Medium,Server,16.51
35538,35006,ICMP,661,Data,HTTP,,Malware,Ignored,Medium,Server,24.91
10903,36817,TCP,281,Control,HTTP,,Malware,Ignored,Low,Firewall,86.07
53471,38048,ICMP,64,Control,DNS,,Intrusion,Blocked,Medium,Server,74.2
43729,10845,ICMP,1341,Data,HTTP,,Malware,Ignored,Low,Firewall,62.14
47795,35243,UDP,913,Data,DNS,,Malware,Logged,High,Firewall,72.65
24912,21176,TCP,425,Data,DNS,,Intrusion,Logged,Medium,Firewall,91.56
39934,5259,TCP,838,Control,HTTP,,DDoS,Ignored,High,Server,43.83
16513,50583,TCP,969,Data,HTTP,,DDoS,Logged,Low,Firewall,40.46
4510,26783,TCP,124,Control,DNS,,DDoS,Ignored,High,Firewall,44.75
55147,17595,TCP,461,Data,HTTP,IoC Detected,DDoS,Ignored,High,Server,13.19
24907,37634,ICMP,845,Control,DNS,,Malware,Blocked,Medium,Firewall,89.99
37998,1757,UDP,410,Control,DNS,IoC Detected,Malware,Blocked,Low,Server,86.91
3133,46077,UDP,1425,Data,DNS,,DDoS,Logged,High,Server,72.25
40832,28015,UDP,118,Data,HTTP,IoC Detected,Malware,Logged,Medium,Firewall,96.27
39911,27107,TCP,1386,Control,DNS,IoC Detected,DDoS,Blocked,Medium,Server,67.43
23021,31279,UDP,433,Control,DNS,,Intrusion,Logged,Low,Firewall,89.86
32552,15521,UDP,531,Control,FTP,,Malware,Blocked,High,Firewall,87.23
56607,33023,TCP,282,Control,HTTP,IoC Detected,DDoS,Logged,Low,Firewall,44.4
64351,43307,ICMP,1487,Control,HTTP,IoC Detected,Intrusion,Blocked,Low,Firewall,45.42
19954,11594,UDP,563,Control,DNS,IoC Detected,Intrusion,Ignored,Medium,Firewall,25.7
63062,49527,TCP,1313,Control,HTTP,IoC Detected,DDoS,Logged,Low,Firewall,69.2
39208,61136,UDP,350,Control,HTTP,,DDoS,Ignored,Medium,Firewall,77.06
12932,47900,TCP,373,Data,DNS,IoC Detected,Malware,Ignored,Medium,Server,3.87
11482,16459,ICMP,1155,Control,DNS,,Malware,Blocked,Low,Firewall,25.93
18768,8138,TCP,521,Data,FTP,IoC Detected,DDoS,Ignored,High,Server,60.57
41615,15184,ICMP,1346,Data,FTP,IoC Detected,Intrusion,Blocked,Low,Server,67.73
34512,40467,UDP,1311,Control,DNS,IoC Detected,DDoS,Blocked,Medium,Firewall,75.16
28975,5960,UDP,117,Control,FTP,,Malware,Logged,Low,Server,75.46
46111,15554,TCP,1271,Control,HTTP,,Malware,Logged,Medium,Firewall,49.03
5032,1068,TCP,308,Control,DNS,,Intrusion,Blocked,Medium,Server,85.28
58316,54095,TCP,545,Data,DNS,,DDoS,Ignored,Medium,Firewall,6.44
26896,45972,UDP,572,Control,DNS,,DDoS,Ignored,Low,Server,22.17
