Number of Layers,Layer Structure,Epochs,Learning Rate,Momentum,Activation Function,MAPE,MAE,MSE
2,"[128, 64]",50,0.01,0.9,relu,808.1720581054688,1.0304731130599976,1.5410175323486328
2,"[64, 32]",100,0.001,0.8,tanh,600.1489868164062,0.8964096307754517,1.0593678951263428
3,"[256, 128, 64]",150,0.0005,0.9,relu,1492.331787109375,1.0635805130004883,1.63518226146698
3,"[128, 64, 32]",75,0.005,0.85,tanh,786.6199951171875,0.9708276987075806,1.3330752849578857
2,"[96, 48]",120,0.01,0.85,sigmoid,184.40628051757812,0.8811296820640564,1.0145411491394043
4,"[128, 64, 32, 16]",200,0.001,0.9,relu,944.7744140625,1.1379929780960083,1.9856140613555908
4,"[256, 128, 64, 32]",100,0.0001,0.95,relu,826.150146484375,0.9031108617782593,1.0918017625808716
1,[64],50,0.01,0.9,tanh,433.8911437988281,0.8940013647079468,1.0599299669265747
2,"[32, 16]",300,0.005,0.8,sigmoid,246.3932342529297,0.8823007941246033,1.017554521560669
2,"[256, 128]",125,0.002,0.88,relu,1488.806884765625,1.0417382717132568,1.5924383401870728
